video_id,title,channel_title,published_at,description
Ih4tj9n196Q,"ĐIỆN THOẠI CŨ GIÁ RẺ ĐÓN TẾT | FOLD 4 SIÊU NÉT NGUYÊN SIU MÀN, FOLD 6 S23ULTRA S25U S24 S22 S21U...",Di Động Minh Huy,2026-01-23T13:25:06Z,"DIDONGMINHHUY Thông Báo : Chuyên cung cấp điện thoại cũ giá rẻ cấu hình cao các dòng mức giá hợp lí, chính sách bảo ..."
XYnkXFpSU1k,"Trực Tiếp Xả Hàng Điện Thoại Giá Rẻ Ngã Ngửa Oppo, Xiaomi, Realme, Samsung, LG ...",Phương Nam Mobile,2026-01-22T15:33:55Z,"PhươngNamMobile​​​ - Chuyên điện thoại cũ giá rẻ, nguyên zin, chính hãng #iPhone​​​,#Samsung​​​, Sony,Vivo, Oppo, ..."
qizxX-5a65A,Thanh lý điện thoại pin 6000mah chính hãng giá rẻ | samsung oppo vivo xiaomi miễn phí vận chuyển ,Điện thoại cũ 24h,2026-01-19T08:17:48Z,"Điện thoại cũ giá rẻ , điện thoại cũ thanh lý , sam sung cũ giá rẻ , oppo cũ thanh lý giá rẻ , vivo cũ giá rẻ Điện thoại giá rẻ bình dân ..."
oAPMbZU0_84,"Điện thoại giá rẻ toàn diện nhất cho học sinh, sinh viên đây #shorts",Dương Dê,2022-02-22T06:15:00Z,Dương Dê - Đánh giá các sản phẩm điện thoại và đồ công nghệ Redmi Note 11s ...
q9OQ7uHcV8o,"Thanh lý điện thoại giá rẻ Ip 12 128Gb, xr 64Gb .. chất lượng",Táo Nhật,2026-01-07T04:20:02Z,"mua máy liên hệ zalo: 0982885801 FB: https://www.facebook.com/duy.dv.16 máy sạch không mdm, không icloud uy tín - chất ..."
1Ppi5Pmgrr4,"24.01.2026. Điện thoại giá rẻ, tặng full phụ kiện, kèm quà Tết dễ thương chỉ từ 250k",J&J - Cuộc sống và công nghệ,2026-01-24T10:00:16Z,dienthoai #giare #mobile #iphone #oppo #redmi #ipad #0834565430 #samsung #realme #soctrang #poco #review #trending.
td0w25-dAj8,Samsung mới là VUA GIÁ RẺ: Galaxy A07 hơn 2 triệu MẠNH NHƯ điện thoại Trung Quốc 4 triệu!,relab,2025-11-25T11:39:38Z,Tham khảo các sản phẩm công nghệ tại Điện Thoại Vui: ...
bLqORB-MInQ,Samsung giá rẻ còn bán chạy hơn Xiaomi? Galaxy A17 có gì hơn Redmi 15?,Dương Dê,2025-12-05T03:15:05Z,Samsung giá rẻ còn bán chạy hơn Xiaomi? Galaxy A17 có gì hơn Redmi 15? Tham khảo tại: https://samcenter.vn/ Dương Dê ...
rGoQO_CeZMs,29/1/2026 Thanh Lý ĐT Giá Rẻ || Redmi Not14Pro 5G || OPPO Reno 8T 5G || SS A73 - A16 - M15 || LG V60,Trung Anh Mobile,2026-01-29T00:30:56Z,TrungAnhMobile #samsung #dienthoaigiare #dienthoaichinhhang #dienthoaicugiasinhvien Địa chỉ cửa hàng tại số nhà 133 ...
eLtucKLm39E,19/01 iPhone chính hãng đẹp chỉ 500k không cọc trước #dienthoaithanhdien #smartphone ,Điện Thoại Thanh Điền,2026-01-19T04:00:06Z,"chuyên mua bán điện thoại chín hãng giá rẽ , tốt nhất, ship cod không cọc trước, bao 1 đổi 1 trong 7 ngày đầu tiên, bảo hành 3 ..."
pYPs0Ai5IeA,ĐT Iphone 7-8 Plus Giá Rẻ 700k Ship Không Cọc ,Điện Thoại Giá Rẻ 24H,2025-12-26T05:01:05Z,Bên em chuyên bán tất cả các dòng điện thoại - Oppo - redmi - Samsung - iPhone - Vivo - giá từ 1 triệu đến 5 triệu - ship toàn ...
_FJ7SRYjM-4,Thanh lý điện thoại giá rẻ. Ngày 23/12. Lh 0363889436. Không cọc. Miễn ship. Kèm phụ kiện,Điện thoại cũ Thiên Phong,2025-12-23T05:10:13Z,"Điện thoại thiên phong Chuyên mua bán các dòng điện thoại cũ giá rẻ Lh : 0363889436 Địa chỉ: 77 lý thường kiệt p7, tp tuy hoà, ..."
mkEWq5gSYE0,"Ngày 14/ 01/ 26 Điện Thoại Mới Cũ Giá Rẻ Thủ Dầu Một, Bình Dương LH 0963.595.262|| TT1985 Review",TT1985 Review,2026-01-14T12:45:06Z,MUA DT GIÁ RẺ VÀI TRĂM NGÀN Ở ĐÂY : https://www.youtube.com/channel/UCTQ_bTQVNLU1IZXl-quEC0g #TT1985Review ...
43AeQn5yacY,Điện Thoại Giá Rẻ 1-2 Triệu Đáng Mua ,Điện Thoại Giá Rẻ 24H,2025-10-31T12:00:07Z,Bên em chuyên bán tất cả các dòng điện thoại - Oppo - redmi - Samsung - iPhone - Vivo - giá từ 1 triệu đến 5 triệu - ship toàn ...
tTlsXPySrr8,31/1/2026 Thanh Lý Nghỉ Tết ĐT giá rẻ || iphone 15Prm - 14 - 13 - 12Prm ||Samsung A56 - A73 - A26 5G,Trung Anh Mobile,2026-01-31T00:31:01Z,TrungAnhMobile #samsung #dienthoaigiare #dienthoaichinhhang #dienthoaicugiasinhvien Địa chỉ cửa hàng tại số nhà 133 ...
